SYMBOL|SERIES|OPEN|HIGH|LOW|CLOSE|LAST|PREVCLOSE|TOTTRDQTY|TOTTRDVAL|TOTALTRADES
KALYANKJIL|EQ|63.25|63.85|62.5|62.75|62.8|64.3|833498|52717477.65|9012
KAMATHOTEL|EQ|52.10|52.1|46.25|48.5|47.35|52.05|60527|3001552.45|995
KAMDHENU|EQ|221.55|228.9|221.55|223.55|223.3|229.35|47666|10757144.4|1364
KANANIIND|BE|15.00|16.25|14.95|15.45|15.45|15.7|40498|624570.45|160
KANORICHEM|EQ|140.00|141.1|135.8|136.85|138.85|142.85|13268|1833907.3|403
KANPRPLA|EQ|125.00|134.95|125|126.05|125.5|132.2|18561|2367531.1|468
KANSAINER|EQ|501.00|501|470.5|486.95|487|497.5|220195|105858899|14434
KAPSTON|BE|113.25|123.95|113.15|115|115|119.1|4354|503290.9|75
KARMAENG|BE|32.40|32.45|29.65|31.5|30.85|30.95|16557|522421.45|134
KARURVYSYA|EQ|52.15|53.2|51|51.6|51.3|54.65|3527690|185007877.7|17917
KAUSHALYA|BE|4.35|4.35|4.35|4.35|4.35|4.55|15245|66315.75|92
KAVVERITEL|BE|11.05|11.05|11.05|11.05|11.05|11.6|6728|74344.4|48
KAYA|EQ|405.10|425|388|409.85|425|412.8|48307|19358855.7|1740
KBCGLOBAL|EQ|16.15|16.4|15.6|15.7|15.7|16.6|5347499|85071977.45|3103
KCP|EQ|124.30|124.3|120|120.55|120.25|125.8|258156|31410388.45|4615
KCPSUGIND|EQ|27.40|27.4|23.9|24.3|24.25|28.1|1811450|46117849.45|5735
KDDL|EQ|1001.00|1010.15|934.25|950.4|950.1|1033.55|31692|30578927.5|4559
KEC|EQ|494.60|506.35|479.85|485.25|482|500.25|161738|79870022.3|12854
KECL|EQ|24.60|24.6|23.6|23.6|23.6|24.8|87138|2076889.35|444
KEERTI|EQ|20.55|20.55|19.3|19.35|19.4|20.25|7293|142390.55|62
KEI|EQ|975.50|1014.7|952.45|1005.85|1000|1003.55|282513|278580657.9|21465
KELLTONTEC|EQ|92.00|93.05|91.15|91.15|91.15|95.9|1279893|117035064.7|9516
KENNAMET|EQ|1851.00|1925|1836.05|1859.3|1840|1903.8|10625|20129215.7|3108
KERNEX|BE|125.25|129|125.25|125.25|125.25|131.8|24078|3020364|80
KESORAMIND|EQ|60.40|60.4|55.5|56.35|55.7|61.4|1021199|59264040.4|6903
KEYFINSERV|EQ|107.00|107.5|100|100.95|101.05|108.6|15406|1594903.5|424
KHADIM|EQ|270.00|295|251.25|268.55|267.15|279.1|99167|27243432.8|3227
KHAICHEM|EQ|108.00|108.4|98.4|101.25|100.3|106.9|358279|37229105.4|12536
KHAITANLTD|BE|39.35|39.35|37.45|37.45|37.45|39.4|3211|120490.7|32
KHANDSE|BE|20.05|21.1|20.05|20.8|21.1|21.1|17702|357055.5|75
KICL|EQ|1761.05|1791.75|1725|1725.15|1725|1776.35|1070|1859893.2|122
KILITCH|BE|211.20|219.75|208.95|208.95|208.95|219.9|26552|5564617.55|160
KIMS|EQ|1365.30|1365.3|1300|1304.4|1310|1371.4|107314|141977372.2|13114
KINGFA|EQ|1305.10|1324.95|1270|1278.7|1270|1353.7|10619|13751561.5|2437
KIOCL|EQ|233.05|234.1|226.8|228.85|231|237.8|37223|8553811.65|2720
KIRIINDUS|EQ|491.90|491.9|464|468.3|464|494.8|136699|65185242.05|5809
KIRLFER|EQ|200.70|209|195|197.1|198.95|205.85|207483|41682946.4|5936
KIRLOSBROS|EQ|340.00|344.15|328.05|329.95|329|340.65|89161|29753752.55|1984
KIRLOSENG|EQ|144.30|148.4|136.8|139.55|142|151.2|446258|63843323.05|12093
KIRLOSIND|EQ|1485.00|1502|1410.1|1432.2|1410.1|1498.95|4504|6598846.2|523
